TransactionID,Amount,Time,Location,IsFraud
2066,395.27631769817623,38248.73584998646,38,0
2254,416.3505316652102,34058.058733432044,10,0
2883,111.46714651331907,74684.41809359596,28,0
2508,225.18341015053667,31738.220519956987,23,0
1543,287.9829876181627,7890.54344641933,47,0
2328,10.766901543821723,25925.79596303001,10,0
2922,359.1844532182713,6525.540232636626,34,0
1902,12.562510636027241,30632.965242791677,8,0
3355,102.08098659950828,23358.118218818487,1,0
11,20.086402204943198,59789.772513790966,47,0
3657,176.80166249598724,52510.703219431874,24,0
3805,9688.979986648394,70926.59238370122,52,1
1425,493.44876024983495,34558.53278056432,43,0
3233,130.2226339414434,50611.24260844252,38,0
3303,283.93904962383505,82859.68880406427,9,0
796,437.34071538263424,55746.88495297896,23,0
2169,341.32700541696266,80913.0238252035,17,0
1015,355.73183453268734,66479.8388620225,24,0
3041,97.88869418598313,79034.34200206985,38,0
351,256.53676670424295,10214.088965950054,42,0
883,19.658163499638434,81393.83016381465,10,0
3344,86.67359084176428,22880.130201646745,9,0
354,89.83786926990055,30809.909605208166,12,0
2787,480.7072180014679,40668.566356027724,43,0
3340,330.5250411436581,10910.892031306757,8,0
1517,327.26260993575545,24079.188896224627,23,0
2053,91.22952468000511,73576.6329614893,5,0
160,366.8260108198112,3403.454431059596,20,0
2150,415.842133694237,71318.00699268152,4,0
1322,88.17689325546229,79889.05075351421,8,0
2741,189.18356664807195,16286.387281536483,31,0
3291,42.817069892383046,7856.822872486755,35,0
1118,439.95582268888637,32147.90682879421,9,0
2324,161.59263175276322,86353.40284355576,29,0
648,342.7601363807999,69047.24870345317,44,0
734,266.3020581368685,26474.294823929544,15,0
2525,404.17423176295745,7039.344762398179,3,0
1087,310.57158071324676,29629.122862394524,5,0
2549,209.48217967155753,51516.74090010546,36,0
352,429.6800221822779,2.6541082410407313,35,0
252,198.69788701494338,59537.17328384704,6,0
2417,198.26128936304212,13254.873038417205,12,0
2738,276.7963430721288,76746.71777859412,3,0
1041,274.35073326391523,82568.11397182468,39,0
482,350.9168576024624,63449.19444892767,11,0
976,138.5093817069143,71498.04715760979,26,0
1973,143.80469688667807,22217.96313582588,48,0
2146,412.6020798781311,29511.68143952747,10,0
839,294.4882916362413,64957.69261065725,34,0
666,84.9009782003227,34214.483495717155,11,0
3981,6504.18890931461,53839.93253782667,78,1
1028,423.8292052821845,14477.74899590936,10,0
3850,3766.8927929305346,34771.2599615264,67,1
1948,82.25173808607913,84668.15065175526,6,0
266,372.97662269956015,8885.599962405988,23,0
900,51.89918011868936,84908.69633465735,32,0
3336,377.4891212415147,63809.77301071842,20,0
974,115.32078550947081,70750.30497296873,36,0
1102,484.8602887689976,41805.522909876505,27,0
296,265.89919742685413,40205.1110923716,22,0
2250,66.31716855918775,80884.48679000609,21,0
1648,414.7731388237389,53588.29095024081,10,0
3659,311.4132788651879,19457.89345867982,40,0
1189,157.47214780393998,63180.050919613204,38,0
468,435.6135728128355,5308.95946730004,23,0
2970,253.16678891235716,28361.23971356192,1,0
3163,157.51257813881338,82399.99332888356,19,0
2634,91.80701348612737,44512.60833834166,43,0
3518,198.94282033153334,56583.97543997502,38,0
2830,24.293184186179587,60439.208002782216,36,0
1946,263.4618376563886,59769.588021867276,44,0
2029,135.69973059768142,31237.07222271945,46,0
3053,141.58154047312757,78486.6332680044,39,0
1818,386.91934244068545,21010.750294829122,44,0
979,253.21946112860581,20836.674516190633,17,0
3821,6004.471818519648,25708.040180063734,90,1
2302,290.30383525095743,62439.860834595645,32,0
1815,50.2641170634494,36400.3961731227,44,0
1769,194.18525972142697,72263.1090882585,17,0
3216,67.60013707360778,74791.73114260404,7,0
1833,295.3871025215508,16121.384369841673,7,0
