TransactionAmount,AccountBalance,LoginAttempts
18.23,8422.2,1
333.97,5237.36,1
446.39,7863.6,1
1.82,5571.39,1
1512.99,9963.39,1
1036.21,477.3,1
305.18,4474.2,1
256.05,6910.18,1
331.65,4172.57,1
291.27,6878.86,1
11.81,320.25,1
364.42,8119.73,1
107.48,1379.39,1
90.88,3908.47,1
210.45,1242.49,1
322.96,2401.59,1
388.1,3022.12,1
17.07,2798.15,1
289.01,4226.26,1
211.18,4069.17,1
91.85,802.09,1
365.7,368.78,2
58.77,7261.7,1
35.16,8459.18,1
63.98,7954.12,1
131.56,5873.54,1
361.38,4972.92,3
168.34,7483.01,1
82.01,287.46,1
154.71,1523.72,1
228.4,9598.43,1
66.9,5238.71,4
43.73,9929.43,1
43.46,578.06,1
46.53,4468.12,1
421.52,369.86,1
617.36,8926.38,1
423.11,412.78,1
468.32,4710.04,1
994.63,13538.14,1
331.22,12613.25,1
644.08,1980.62,1
315.39,929.6,1
270.25,5414.97,1
114.03,13388.56,1
74.85,2409.73,1
1095.09,8692.47,1
736.53,9826.26,1
25.77,11749.77,1
18.68,7948.37,1
224.22,8400.87,1
178.91,8870.89,1
504.63,3806.16,1
256.66,1794.5,1
52.87,960.96,1
26.5,4854.83,1
43.88,1644.09,1
3.44,7561.33,1
361.27,7945.57,1
235.4,818.36,1
508.73,7640.57,1
167.44,12526.71,1
14.0,7975.18,1
119.61,9899.94,1
321.93,4392.73,1
11.3,1938.99,1
463.11,10238.82,1
1241.05,756.74,1
337.73,7001.2,4
292.95,1216.91,1
19.39,9847.6,1
762.74,207.1,1
165.55,761.78,1
73.01,1997.33,1
171.11,6324.09,1
99.52,3798.09,1
444.89,10328.23,1
169.47,1806.16,1
107.48,591.23,1
642.68,8461.46,1
103.15,11388.15,1
193.16,2304.56,1
193.82,3886.77,1
38.15,303.68,1
1830.0,2235.7,1
1021.16,9427.06,1
137.81,2631.47,1
451.15,1356.47,1
131.93,4547.06,1
96.54,7182.22,1
185.97,1776.91,1
20.17,3869.37,1
1026.46,3134.47,1
792.57,770.37,1
115.92,3897.17,1
743.03,4111.38,1
40.9,1514.34,1
865.17,9297.5,1
653.97,3886.65,1
201.69,7328.52,1
100.27,4309.9,1
199.54,9603.73,1
293.85,1919.97,1
21.21,9575.42,1
7.56,8528.72,1
262.06,13587.52,1
209.09,9100.81,1
166.68,5141.19,1
141.91,791.97,1
206.84,454.66,1
171.16,6126.5,1
15.74,690.16,1
46.12,8874.01,1
160.52,5379.25,1
212.14,7225.06,1
407.65,8346.64,1
65.11,8485.14,1
45.77,5978.12,1
58.94,4575.98,1
885.33,7764.16,1
88.29,5245.93,1
757.1,10553.23,1
69.28,708.74,1
281.47,4437.48,1
124.35,3319.76,1
211.69,6412.85,1
1282.86,1830.98,1
144.93,6887.52,1
206.63,7626.53,1
609.52,3485.03,1
51.0,4943.16,1
583.3,5896.01,1
53.57,1651.33,1
362.04,8421.88,2
33.46,3641.07,1
241.45,1594.04,1
388.77,1658.49,1
386.68,6863.06,1
1.93,5684.09,5
684.5,6258.63,1
466.85,5422.53,1
243.08,131.25,1
209.02,187.9,1
26.27,8853.93,1
374.61,1389.71,1
896.79,11146.74,1
97.74,4113.63,1
35.99,4489.79,1
641.06,1602.13,1
637.75,4202.92,1
106.41,1310.38,1
1096.7,1093.89,1
1.14,13913.92,1
146.15,13784.4,1
142.55,1262.68,1
103.76,9626.14,1
201.33,2585.07,1
261.63,477.03,1
147.46,7458.03,1
504.12,1107.28,1
77.57,12801.93,1
523.74,13498.55,1
395.16,5340.73,1
316.37,4671.69,1
31.81,1406.6,1
148.0,1488.65,1
406.65,12995.7,1
417.8,1518.82,1
422.14,1436.32,1
86.41,3128.71,1
643.22,1035.86,1
92.36,6353.14,1
327.35,342.08,1
886.19,7904.24,1
34.74,6827.57,1
830.01,4253.18,1
521.81,4750.96,1
115.02,7643.66,1
42.56,4361.44,1
277.7,1423.2,1
54.5,1715.22,1
1063.25,1240.71,1
603.23,117.98,1
737.34,7336.56,1
411.47,796.63,1
100.99,8865.27,1
5.76,5859.79,1
399.21,3210.39,1
68.28,3213.16,1
213.28,4835.91,1
145.4,5244.49,1
347.63,1400.04,1
216.03,10462.77,1
1116.48,447.53,1
331.98,7600.99,1
79.21,1615.04,1
233.71,1231.98,1
501.3,8520.08,1
32.54,1544.88,4
78.5,13991.5,1
338.69,1137.89,1
332.93,2788.2,1
469.46,8640.56,1
64.21,12540.18,1
28.63,3382.91,1
471.84,1044.33,1
110.4,8639.36,1
345.84,1402.5,3
35.76,611.86,1
126.81,5427.98,1
101.34,703.26,1
153.55,5619.91,1
117.66,6794.17,1
325.98,782.35,1
337.99,9038.63,1
55.99,932.61,1
467.13,3914.84,1
336.84,4500.26,1
1221.65,243.92,1
29.58,8345.26,1
124.59,129.29,1
278.23,8300.54,1
422.9,7616.43,1
47.1,6308.07,1
241.11,12385.05,1
151.19,11903.82,1
350.15,296.47,1
154.24,6109.55,1
339.35,5002.7,1
70.68,1478.41,1
406.33,4298.34,1
414.64,7253.22,1
33.65,12719.93,1
19.48,4739.59,1
668.67,13446.81,4
103.08,12002.16,1
362.09,6590.28,1
305.27,12958.65,1
131.69,2958.43,1
192.23,2610.67,3
39.41,921.91,1
781.76,189.69,1
109.3,13510.11,1
344.97,5577.94,1
539.81,2051.25,1
739.28,11905.64,1
444.52,5424.6,1
485.54,1533.32,1
77.83,2471.53,1
98.71,10095.23,1
55.12,3791.99,1
926.53,3120.1,1
350.72,1982.9,1
13.71,8342.79,1
248.66,2571.39,1
99.25,2570.34,1
384.1,672.79,1
38.14,1119.21,1
43.91,1806.68,1
191.62,1981.67,1
512.81,6994.34,1
38.81,1619.6,1
200.19,4389.96,1
1283.97,11041.9,1
193.54,2929.51,1
466.64,10915.11,1
166.13,11822.53,1
292.08,7950.48,1
106.23,9095.14,1
11.46,6628.75,1
12.23,7844.88,1
361.46,4737.84,1
438.04,5358.95,1
306.9,9418.08,1
307.68,2052.84,1
63.34,11174.94,1
888.57,7896.14,1
732.53,441.54,1
750.95,5134.37,1
31.53,874.93,1
315.94,4273.99,1
490.82,8704.27,1
2.5,12145.27,1
958.9,9977.49,1
348.64,3274.96,1
261.45,6735.74,1
284.17,3479.56,1
382.07,10156.09,1
73.19,2264.98,1
8.37,1106.34,1
163.22,1788.27,1
436.8,1256.33,1
202.49,7447.1,1
415.88,10008.33,1
198.62,1196.07,1
